count,New England,Boston,New York,Philadelphia,Chicago,Detroit,Minneapolis,St. Louis,Atlanta,Baltimore,Miami,Tampa,Washington D.C.,Dallas,Houston,Denver,Phoenix,Los Angeles,Riverside,San Diego,San Francisco,Seattle,Urban Alaska,Urban Hawaii
1,0.205,0.233,0.202,0.118,0.161,0.147,0.152,0.107,0.108,0.125,0.120,0.126,0.126,0.141,0.144,0.112,0.128,0.183,0.211,0.265,0.206,0.110,0.231,0.323
2,0.205,0.233,0.196,0.155,0.161,0.147,0.147,0.103,0.108,0.129,0.120,0.126,0.126,0.141,0.135,0.113,0.127,0.183,0.211,0.265,0.206,0.110,0.231,0.295
3,0.204,0.234,0.201,0.155,0.161,0.147,0.152,0.103,0.109,0.129,0.120,0.126,0.128,0.142,0.130,0.113,0.127,0.185,0.209,0.278,0.208,0.110,0.231,0.309
4,0.204,0.234,0.197,0.155,0.165,0.147,0.148,0.103,0.109,0.131,0.121,0.126,0.127,0.142,0.128,0.110,0.126,0.186,0.210,0.278,0.211,0.112,0.233,0.317
5,0.204,0.225,0.194,0.156,0.161,0.151,0.152,0.103,0.114,0.131,0.121,0.126,0.127,0.142,0.126,0.110,0.147,0.186,0.210,0.276,0.221,0.112,0.233,0.327
6,0.205,0.225,0.211,0.156,0.161,0.158,0.161,0.140,0.143,0.118,0.121,0.126,0.132,0.142,0.127,0.121,0.147,0.189,0.192,0.313,0.221,0.112,0.233,0.327
7,0.194,0.215,0.207,0.156,0.157,0.173,0.166,0.139,0.143,0.118,0.121,0.126,0.131,0.142,0.122,0.121,0.152,0.191,0.192,0.313,0.222,0.111,0.219,0.322
8,0.194,0.214,0.202,0.155,0.164,0.172,0.163,0.139,0.143,0.116,0.120,0.126,0.131,0.142,0.118,0.121,0.151,0.187,0.186,0.313,0.222,0.111,0.219,0.321
9,0.194,0.214,0.205,0.154,0.161,0.173,0.160,0.139,0.143,0.116,0.120,0.127,0.134,0.143,0.124,0.127,0.147,0.188,0.186,0.313,0.222,0.111,0.219,0.310
10,0.194,0.214,0.194,0.152,0.166,0.171,0.144,0.104,0.113,0.122,0.120,0.127,0.132,0.143,0.127,0.116,0.147,0.190,0.211,0.313,0.223,0.109,0.223,0.308
11,0.198,0.225,0.197,0.152,0.141,0.171,0.135,0.105,0.109,0.123,0.107,0.127,0.129,0.142,0.129,0.114,0.124,0.190,0.171,0.287,0.223,0.109,0.223,0.301
12,0.198,0.225,0.193,0.153,0.141,0.165,0.141,0.105,0.106,0.125,0.118,0.127,0.127,0.142,0.127,0.114,0.115,0.190,0.171,0.287,0.223,0.109,0.223,0.297
13,0.208,0.232,0.199,0.153,0.145,0.163,0.144,0.106,0.109,0.127,0.114,0.127,0.128,0.141,0.123,0.137,0.123,0.193,0.176,0.280,0.229,0.111,0.217,0.312
14,0.208,0.230,0.201,0.154,0.149,0.164,0.146,0.106,0.109,0.132,0.114,0.127,0.128,0.137,0.119,0.137,0.122,0.193,0.176,0.292,0.229,0.111,0.217,0.324
15,0.208,0.231,0.198,0.153,0.143,0.164,0.144,0.106,0.109,0.133,0.114,0.127,0.129,0.134,0.114,0.137,0.122,0.193,0.176,0.292,0.230,0.111,0.217,0.322
16,0.208,0.231,0.195,0.152,0.144,0.164,0.148,0.104,0.108,0.133,0.114,0.129,0.129,0.134,0.121,0.137,0.122,0.191,0.175,0.279,0.227,0.113,0.199,0.308
17,0.205,0.220,0.199,0.151,0.150,0.172,0.154,0.105,0.113,0.132,0.093,0.129,0.125,0.136,0.124,0.137,0.146,0.199,0.186,0.279,0.236,0.114,0.199,0.297
18,0.205,0.219,0.223,0.154,0.143,0.175,0.171,0.138,0.142,0.128,0.114,0.129,0.131,0.136,0.123,0.137,0.140,0.198,0.179,0.291,0.240,0.114,0.199,0.285
19,0.204,0.213,0.218,0.155,0.145,0.175,0.167,0.138,0.142,0.129,0.114,0.129,0.134,0.135,0.121,0.137,0.151,0.200,0.179,0.291,0.240,0.114,0.204,0.276
20,0.195,0.209,0.209,0.154,0.146,0.175,0.167,0.138,0.142,0.123,0.115,0.129,0.133,0.133,0.125,0.137,0.151,0.200,0.179,0.291,0.240,0.114,0.204,0.266
21,0.195,0.209,0.211,0.153,0.142,0.180,0.169,0.138,0.126,0.121,0.115,0.129,0.132,0.132,0.139,0.137,0.147,0.199,0.179,0.291,0.240,0.114,0.204,0.275
22,0.195,0.209,0.202,0.151,0.142,0.181,0.152,0.104,0.095,0.125,0.115,0.129,0.132,0.132,0.133,0.137,0.147,0.208,0.196,0.292,0.236,0.113,0.223,0.279
23,0.198,0.217,0.201,0.150,0.141,0.173,0.149,0.104,0.108,0.125,0.115,0.129,0.126,0.130,0.145,0.137,0.124,0.208,0.196,0.292,0.236,0.113,0.223,0.276
24,0.198,0.217,0.211,0.153,0.141,0.173,0.147,0.104,0.105,0.125,0.115,0.129,0.127,0.130,0.144,0.137,0.123,0.208,0.196,0.292,0.236,0.114,0.223,0.273
25,0.207,0.230,0.213,0.154,0.140,0.175,0.147,0.104,0.109,0.123,0.117,0.126,0.127,0.131,0.139,0.137,0.124,0.207,0.196,0.292,0.242,0.114,0.201,0.281
26,0.208,0.230,0.219,0.153,0.141,0.175,0.149,0.106,0.110,0.122,0.117,0.126,0.126,0.131,0.143,0.137,0.124,0.219,0.211,0.337,0.242,0.114,0.201,0.290
27,0.209,0.234,0.188,0.152,0.148,0.175,0.150,0.106,0.113,0.125,0.117,0.129,0.127,0.128,0.144,0.137,0.125,0.219,0.211,0.347,0.251,0.114,0.201,0.295
28,0.213,0.238,0.208,0.153,0.143,0.175,0.145,0.106,0.113,0.124,0.117,0.129,0.127,0.127,0.141,0.141,0.126,0.220,0.214,0.346,0.257,0.116,0.200,0.291
29,0.210,0.227,0.214,0.152,0.146,0.175,0.149,0.106,0.116,0.131,0.121,0.111,0.126,0.128,0.138,0.141,0.148,0.220,0.213,0.346,0.257,0.116,0.200,0.304
30,0.211,0.229,0.222,0.155,0.143,0.183,0.173,0.144,0.125,0.130,0.121,0.118,0.136,0.129,0.138,0.141,0.148,0.218,0.204,0.350,0.261,0.116,0.200,0.316
31,0.205,0.225,0.216,0.156,0.147,0.183,0.169,0.144,0.143,0.130,0.121,0.118,0.138,0.133,0.147,0.140,0.154,0.221,0.204,0.350,0.261,0.117,0.199,0.330
32,0.207,0.228,0.226,0.156,0.148,0.183,0.168,0.144,0.143,0.129,0.122,0.118,0.138,0.144,0.152,0.140,0.153,0.221,0.205,0.350,0.263,0.117,0.199,0.324
33,0.208,0.228,0.222,0.156,0.144,0.183,0.166,0.144,0.145,0.130,0.121,0.126,0.137,0.152,0.157,0.141,0.148,0.222,0.207,0.350,0.263,0.117,0.199,0.326
34,0.213,0.228,0.214,0.155,0.143,0.184,0.153,0.111,0.119,0.135,0.121,0.126,0.138,0.153,0.157,0.141,0.149,0.239,0.238,0.350,0.258,0.116,0.201,0.327
35,0.220,0.244,0.207,0.159,0.146,0.177,0.149,0.112,0.119,0.137,0.121,0.126,0.130,0.153,0.156,0.141,0.130,0.240,0.238,0.365,0.258,0.117,0.201,0.333
36,0.220,0.245,0.200,0.163,0.146,0.177,0.148,0.112,0.119,0.137,0.121,0.126,0.132,0.154,0.156,0.141,0.138,0.240,0.238,0.365,0.259,0.117,0.201,0.336
37,0.244,0.266,0.256,0.172,0.153,0.178,0.156,0.112,0.124,0.137,0.143,0.129,0.133,0.161,0.138,0.137,0.138,0.248,0.244,0.419,0.279,0.117,0.189,0.348
38,0.244,0.269,0.196,0.170,0.160,0.178,0.159,0.109,0.124,0.145,0.140,0.128,0.136,0.162,0.148,0.137,0.140,0.248,0.244,0.419,0.279,0.117,0.189,0.362
39,0.246,0.267,0.225,0.172,0.160,0.178,0.161,0.114,0.124,0.141,0.140,0.128,0.136,0.162,0.141,0.137,0.141,0.258,0.262,0.419,0.310,0.117,0.189,0.369
40,0.249,0.268,0.235,0.173,0.157,0.180,0.162,0.115,0.124,0.149,0.140,0.128,0.136,0.162,0.141,0.137,0.141,0.251,0.253,0.409,0.303,0.119,0.191,0.390
41,0.249,0.257,0.241,0.175,0.159,0.180,0.165,0.122,0.124,0.151,0.140,0.128,0.138,0.164,0.188,0.149,0.160,0.254,0.256,0.409,0.303,0.118,0.191,0.418
42,0.251,0.260,0.248,0.185,0.146,0.189,0.190,0.164,0.124,0.141,0.140,0.128,0.146,0.174,0.188,0.149,0.161,0.249,0.241,0.409,0.311,0.118,0.191,0.426
43,0.261,0.270,0.232,0.185,0.147,0.189,0.189,0.163,0.124,0.149,0.141,0.129,0.153,0.196,0.258,0.152,0.157,0.247,0.241,0.409,0.311,0.118,0.194,0.444
44,0.266,0.288,0.249,0.184,0.149,0.188,0.189,0.162,0.124,0.150,0.141,0.129,0.153,0.196,0.257,0.152,0.156,0.247,0.241,0.409,0.311,0.118,0.194,0.457
45,0.265,0.289,0.245,0.188,0.149,0.188,0.191,0.164,0.124,0.149,0.142,0.137,0.158,0.199,0.241,0.157,0.153,0.247,0.242,0.409,0.311,0.118,0.194,0.474
46,0.265,0.291,0.235,0.184,0.132,0.188,0.169,0.128,0.124,0.163,0.142,0.137,0.161,0.199,0.207,0.157,0.153,0.260,0.264,0.409,0.307,0.118,0.196,0.467
47,0.285,0.358,0.232,0.183,0.133,0.180,0.166,0.127,0.124,0.170,0.142,0.137,0.155,0.183,0.182,0.152,0.137,0.260,0.264,0.410,0.307,0.118,0.196,0.454
48,0.287,0.358,0.231,0.193,0.148,0.180,0.163,0.127,0.124,0.167,0.142,0.137,0.154,0.183,0.190,0.152,0.137,0.260,0.264,0.410,0.307,0.118,0.196,0.450
49,0.324,0.391,0.243,0.197,0.151,0.182,0.161,0.129,0.119,0.171,0.147,0.146,0.152,0.178,0.181,0.153,0.136,0.271,0.282,0.475,0.317,0.126,0.197,0.446
50,0.313,0.386,0.237,0.197,0.156,0.182,0.163,0.134,0.119,0.171,0.151,0.146,0.152,0.178,0.181,0.153,0.137,0.271,0.284,0.475,0.317,0.126,0.197,0.439
